container      , method, 33, 61, 109, 197, 355, 640, 1151, 2072, 3728, 6708, 12070, 21718, 39077, 70313, 126515, 227642, 409600, 
std_hash_32    , insert_o, 138.618, 93.0951, 92.6165, 77.0173, 75.4817, 75.2678, 77.2306, 79.5733, 79.0696, 80.8292, 75.9756, 80.1927, 76.1964, 81.4273, 85.0726, 87.9871, 84.754, 
std_hash_32    , insert_r, 203.17, 126.679, 147.248, 126.282, 103.828, 104.493, 106.976, 98.118, 106.45, 109.083, 102.596, 116.975, 119.49, 137.486, 185.091, 265.596, 262.183, 
std_hash_32    , foreach, 5.9697, 1.85246, 1.43853, 1.38985, 1.48113, 2.31125, 3.60851, 4.04459, 4.57784, 7.63569, 8.00128, 9.74595, 9.76536, 10.8879, 31.5508, 51.8265, 50.825, 
std_hash_32    , find, 29.0606, 22.1082, 20.8734, 24.3868, 23.8834, 23.4234, 23.2026, 24.3605, 22.6518, 26.4771, 33.2623, 33.7982, 34.1464, 41.4345, 60.4129, 99.167, 123.747, 
std_hash_32    , erase, 142.57, 119.602, 134.459, 116.694, 137.211, 121.018, 115.8, 113.904, 114.994, 121.872, 127.674, 163.083, 157.503, 174.878, 222.154, 258.835, 303.895, 
trb_set_64     , insert_o, 216.794, 94.282, 92.9376, 95.6355, 103.823, 109.942, 115.125, 123.909, 130.153, 132.384, 144.319, 160.749, 181.743, 214.351, 215.579, 238.697, 265.133, 
trb_set_64     , insert_r, 205.424, 89.0098, 86.8734, 102.932, 102.436, 118.345, 124.594, 133.012, 138.841, 165.912, 186.087, 215.111, 247.572, 293.138, 342.026, 423.638, 542.588, 
trb_set_64     , foreach, 9.92121, 6.52787, 6.52661, 6.85888, 6.94535, 7.48, 8.2, 12.0156, 10.1895, 15.0408, 21.4295, 19.0503, 29.4868, 37.7923, 64.3451, 82.895, 87.8251, 
trb_set_64     , find, 43.1758, 40.9803, 44.633, 61.3645, 59.862, 59.3516, 67.7878, 83.3122, 83.3062, 110.426, 127.354, 152.662, 183.022, 226.953, 316.365, 425.116, 519.342, 
trb_set_64     , erase, 117.309, 92.341, 116.62, 104.223, 126.358, 119.569, 127.371, 130.508, 137.083, 149.78, 175.88, 205.156, 226.311, 255.286, 362.804, 450.851, 582.724, 
std_set_64     , insert_o, 104.242, 78.3082, 75.4073, 104.45, 91.3837, 78.5916, 84.0589, 87.2419, 95.8556, 103.703, 125.926, 162.381, 156.58, 157.022, 181.021, 187.584, 204.45, 
std_set_64     , insert_r, 142.012, 98.8131, 114.36, 116.419, 96.4276, 115.576, 118.644, 119.591, 137.113, 148.607, 169.142, 191.4, 217.123, 251.04, 313.354, 415.06, 547.831, 
std_set_64     , foreach, 14.7394, 9.23934, 7.93211, 7.18782, 7.10986, 7.79531, 8.48949, 10.2955, 11.6721, 15.6554, 16.2042, 17.2208, 24.7197, 45.3871, 79.1798, 88.6747, 97.7781, 
std_set_64     , find, 38.6909, 35.3443, 37.9303, 41.1827, 50.551, 55.39, 57.2504, 64.4225, 84.5302, 93.9468, 108.905, 132.237, 150.345, 210.471, 293.628, 380.711, 484.363, 
std_set_64     , erase, 135.303, 118.57, 140.123, 125.837, 141.211, 138.661, 138.836, 151.227, 162.029, 181.775, 230.759, 271.845, 279.601, 346.627, 485.51, 597.36, 700.977, 
std_hash_64    , insert_o, 161.97, 100.97, 98.4422, 82.0325, 83.0699, 81.7916, 78.3571, 79.8325, 81.1274, 85.4035, 79.9866, 83.2278, 85.1494, 87.2302, 92.5957, 94.0822, 90.6694, 
std_hash_64    , insert_r, 263.77, 123.99, 144.22, 116.42, 99.2183, 114.018, 109.672, 107.865, 105.397, 121.79, 113.223, 124.062, 135.454, 165.036, 243.539, 333.405, 322.47, 
std_hash_64    , foreach, 5.02424, 1.80656, 1.44771, 1.57462, 2.35831, 4.18313, 4.81755, 5.53234, 8.28294, 10.248, 12.2214, 11.3527, 13.6508, 33.3033, 53.3162, 67.5856, 63.9748, 
